assetId, equipmentTypeId, equipmentId, equipmentAvailabilityId, equipmentLocationId, startDateTime, endDateTime, totalCost, equipmentFixedCost, totalRouteCost, totalDistance, repositionDistance, totalStops, inTransitStops, totalWeight, totalCubic, totalQty, totalTime, dutyTime, operatingTime, repositionTime, serviceTime, waitTime, shortBreakTime, longBreakTime, totalGapTimeBetweenRoutes, maxOutOfRoutePercent, avgOutOfRoutePercent, maxOutOfRouteMile, avgOutOfRouteMile, startDateTimeLocal, endDateTimeLocal, numberOfRoutes, routeUtilization, segmentUtilization, debugAssetId, timeUtilization, decompositionId
"1_tour26","Truck",,"1","DC_4",04/26/2016 19:45,04/27/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,288.00,527.30,527.30,527.30,,,,,,0.00,,,,,04/26/2016 19:45,04/27/2016 04:32,1,0.29,0.19,"tour1_25",0.00,
"1_tour27","Truck",,"1","DC_4",09/04/2016 19:45,09/05/2016 04:32,1850.03,1200.00,650.03,483.35,,3,2,,,400.00,527.30,527.30,527.30,,,,,,0.00,,,,,09/04/2016 19:45,09/05/2016 04:32,1,0.40,0.30,"tour1_26",0.00,
"1_tour28","Truck",,"1","DC_4",09/14/2016 19:03,09/15/2016 00:00,1560.65,1200.00,360.65,271.38,,2,1,,,200.00,296.05,296.05,296.05,,,,,,0.00,,,,,09/14/2016 19:03,09/15/2016 00:00,1,0.20,0.20,"tour1_27",0.00,
"2_tour1","Truck",,"2","DC_6",01/01/2016 00:00,01/01/2016 10:48,1947.89,1200.00,747.89,594.07,,2,1,,,99.00,648.08,648.08,648.08,,,,,,0.00,,,,,01/01/2016 00:00,01/01/2016 10:48,1,0.10,0.10,"tour2_0",0.00,
"2_tour2","Truck",,"2","DC_6",01/03/2016 16:00,01/04/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,96.00,479.02,479.02,479.02,,,,,,0.00,,,,,01/03/2016 16:00,01/04/2016 00:00,1,0.10,0.10,"tour2_1",0.00,
"2_tour3","Truck",,"2","DC_6",01/08/2016 13:11,01/09/2016 00:00,1947.89,1200.00,747.89,594.07,,2,1,,,92.00,648.08,648.08,648.08,,,,,,0.00,,,,,01/08/2016 13:11,01/09/2016 00:00,1,0.09,0.09,"tour2_2",0.00,
"2_tour4","Truck",,"2","DC_6",01/12/2016 13:11,01/13/2016 00:00,1947.89,1200.00,747.89,594.07,,2,1,,,94.00,648.08,648.08,648.08,,,,,,0.00,,,,,01/12/2016 13:11,01/13/2016 00:00,1,0.09,0.09,"tour2_3",0.00,
"2_tour5","Truck",,"2","DC_6",01/19/2016 16:00,01/20/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,190.00,479.02,479.02,479.02,,,,,,0.00,,,,,01/19/2016 16:00,01/20/2016 00:00,1,0.19,0.19,"tour2_4",0.00,
"2_tour6","Truck",,"2","DC_6",01/20/2016 13:11,01/21/2016 00:00,1947.89,1200.00,747.89,594.07,,2,1,,,197.00,648.08,648.08,648.08,,,,,,0.00,,,,,01/20/2016 13:11,01/21/2016 00:00,1,0.20,0.20,"tour2_5",0.00,
"2_tour7","Truck",,"2","DC_6",01/25/2016 16:00,01/26/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,92.00,479.02,479.02,479.02,,,,,,0.00,,,,,01/25/2016 16:00,01/26/2016 00:00,1,0.09,0.09,"tour2_6",0.00,
"2_tour8","Truck",,"2","DC_6",01/27/2016 13:11,01/28/2016 00:00,1947.89,1200.00,747.89,594.07,,2,1,,,182.00,648.08,648.08,648.08,,,,,,0.00,,,,,01/27/2016 13:11,01/28/2016 00:00,1,0.18,0.18,"tour2_7",0.00,
"2_tour9","Truck",,"2","DC_6",01/30/2016 16:00,01/31/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,99.00,479.02,479.02,479.02,,,,,,0.00,,,,,01/30/2016 16:00,01/31/2016 00:00,1,0.10,0.10,"tour2_8",0.00,
"2_tour10","Truck",,"2","DC_6",02/04/2016 16:00,02/05/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,86.00,479.02,479.02,479.02,,,,,,0.00,,,,,02/04/2016 16:00,02/05/2016 00:00,1,0.09,0.09,"tour2_9",0.00,
"2_tour11","Truck",,"2","DC_6",02/05/2016 13:11,02/06/2016 00:00,1947.89,1200.00,747.89,594.07,,2,1,,,186.00,648.08,648.08,648.08,,,,,,0.00,,,,,02/05/2016 13:11,02/06/2016 00:00,1,0.19,0.19,"tour2_10",0.00,
"2_tour12","Truck",,"2","DC_6",02/10/2016 16:00,02/11/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,97.00,479.02,479.02,479.02,,,,,,0.00,,,,,02/10/2016 16:00,02/11/2016 00:00,1,0.10,0.10,"tour2_11",0.00,
"2_tour13","Truck",,"2","DC_6",02/16/2016 16:00,02/17/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,99.00,479.02,479.02,479.02,,,,,,0.00,,,,,02/16/2016 16:00,02/17/2016 00:00,1,0.10,0.10,"tour2_12",0.00,
"2_tour14","Truck",,"2","DC_6",02/22/2016 16:00,02/23/2016 00:00,1761.92,1200.00,561.92,439.10,,2,1,,,92.00,479.02,479.02,479.02,,,,,,0.00,,,,,02/22/2016 16:00,02/23/2016 00:00,1,0.09,0.09,"tour2_13",0.00,
"2_tour15","Truck",,"2","DC_6",02/26/2016 13:11,02/27/2016 00:00,1947.89,1200.00,747.89,594.07,,2,1,,,185.00,648.08,648.08,648.08,,,,,,0.00,,,,,02/26/2016 13:11,02/27/2016 00:00,1,0.19,0.19,"tour2_14",0.00,
