ScenarioId	StepNumber	Replication	Time	AssetType	AssetUnitId	Location	Lat	Lon
0	1	1	01/14/2016 06:55:22	"TRUCK"	44	"DC_1"	49.192050	16.613180
0	1	1	01/14/2016 10:54:42	"TRUCK"	45	"DC_4"	51.922900	4.470560
0	1	1	01/15/2016 00:00:00	"TRUCK"	46	"DC_1"	49.192050	16.613180
0	1	1	01/15/2016 06:04:44	"TRUCK"	46	"CZ_8"	52.234970	21.008490
0	1	1	01/15/2016 12:09:28	"TRUCK"	46	"DC_1"	49.192050	16.613180
0	1	1	01/16/2016 00:00:00	"TRUCK"	47	"DC_6"	43.295020	5.374470
0	1	1	01/16/2016 00:00:00	"TRUCK"	48	"DC_1"	49.192050	16.613180
0	1	1	01/16/2016 00:00:00	"TRUCK"	49	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 00:00:00	"TRUCK"	50	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 00:00:00	"TRUCK"	51	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 00:00:00	"TRUCK"	52	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 04:12:59	"TRUCK"	49	"CZ_1"	51.513340	-0.088930
0	1	1	01/16/2016 04:12:59	"TRUCK"	51	"CZ_1"	51.513340	-0.088930
0	1	1	01/16/2016 04:56:01	"TRUCK"	50	"CZ_5"	48.856910	2.350850
0	1	1	01/16/2016 04:56:01	"TRUCK"	52	"CZ_5"	48.856910	2.350850
0	1	1	01/16/2016 05:43:28	"TRUCK"	48	"CZ_2"	52.523430	13.411450
0	1	1	01/16/2016 08:25:58	"TRUCK"	49	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 08:25:58	"TRUCK"	51	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 09:52:02	"TRUCK"	50	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 09:52:02	"TRUCK"	52	"DC_4"	51.922900	4.470560
0	1	1	01/16/2016 10:42:34	"TRUCK"	47	"CZ_3"	40.416690	-3.700320
0	1	1	01/16/2016 11:26:56	"TRUCK"	48	"DC_1"	49.192050	16.613180
0	1	1	01/16/2016 21:25:08	"TRUCK"	47	"DC_6"	43.295020	5.374470
0	1	1	01/17/2016 00:00:00	"TRUCK"	53	"DC_6"	43.295020	5.374470
0	1	1	01/17/2016 00:00:00	"TRUCK"	54	"DC_6"	43.295020	5.374470
0	1	1	01/17/2016 00:00:00	"TRUCK"	55	"DC_1"	49.192050	16.613180
0	1	1	01/17/2016 00:00:00	"TRUCK"	56	"DC_1"	49.192050	16.613180
0	1	1	01/17/2016 00:00:00	"TRUCK"	57	"DC_1"	49.192050	16.613180
0	1	1	01/17/2016 03:27:41	"TRUCK"	57	"CZ_7"	47.498150	19.040550
0	1	1	01/17/2016 06:04:44	"TRUCK"	55	"CZ_8"	52.234970	21.008490
0	1	1	01/17/2016 06:04:44	"TRUCK"	56	"CZ_8"	52.234970	21.008490
0	1	1	01/17/2016 06:55:22	"TRUCK"	57	"DC_1"	49.192050	16.613180
0	1	1	01/17/2016 07:57:55	"TRUCK"	53	"CZ_4"	41.890550	12.494260
0	1	1	01/17/2016 07:57:55	"TRUCK"	54	"CZ_4"	41.890550	12.494260
0	1	1	01/17/2016 12:09:28	"TRUCK"	55	"DC_1"	49.192050	16.613180
0	1	1	01/17/2016 12:09:28	"TRUCK"	56	"DC_1"	49.192050	16.613180
0	1	1	01/17/2016 15:55:50	"TRUCK"	53	"DC_6"	43.295020	5.374470
0	1	1	01/17/2016 15:55:50	"TRUCK"	54	"DC_6"	43.295020	5.374470
0	1	1	01/18/2016 00:00:00	"TRUCK"	58	"DC_1"	49.192050	16.613180
0	1	1	01/18/2016 05:43:28	"TRUCK"	58	"CZ_2"	52.523430	13.411450
0	1	1	01/18/2016 11:26:56	"TRUCK"	58	"DC_1"	49.192050	16.613180
0	1	1	01/19/2016 00:00:00	"TRUCK"	59	"DC_6"	43.295020	5.374470
0	1	1	01/19/2016 00:00:00	"TRUCK"	60	"DC_6"	43.295020	5.374470
0	1	1	01/19/2016 00:00:00	"TRUCK"	61	"DC_4"	51.922900	4.470560
0	1	1	01/19/2016 04:12:59	"TRUCK"	61	"CZ_1"	51.513340	-0.088930
0	1	1	01/19/2016 08:25:58	"TRUCK"	61	"DC_4"	51.922900	4.470560
0	1	1	01/19/2016 10:42:34	"TRUCK"	59	"CZ_3"	40.416690	-3.700320
0	1	1	01/19/2016 10:42:34	"TRUCK"	60	"CZ_3"	40.416690	-3.700320
0	1	1	01/19/2016 21:25:08	"TRUCK"	59	"DC_6"	43.295020	5.374470
0	1	1	01/19/2016 21:25:08	"TRUCK"	60	"DC_6"	43.295020	5.374470
0	1	1	01/20/2016 00:00:00	"TRUCK"	62	"DC_6"	43.295020	5.374470
0	1	1	01/20/2016 00:00:00	"TRUCK"	63	"DC_1"	49.192050	16.613180
0	1	1	01/20/2016 00:00:00	"TRUCK"	64	"DC_1"	49.192050	16.613180
0	1	1	01/20/2016 00:00:00	"TRUCK"	65	"DC_4"	51.922900	4.470560
0	1	1	01/20/2016 00:00:00	"TRUCK"	66	"DC_4"	51.922900	4.470560
0	1	1	01/20/2016 00:00:00	"TRUCK"	67	"DC_4"	51.922900	4.470560
0	1	1	01/20/2016 03:27:41	"TRUCK"	63	"CZ_7"	47.498150	19.040550
0	1	1	01/20/2016 04:56:01	"TRUCK"	66	"CZ_5"	48.856910	2.350850
0	1	1	01/20/2016 05:27:21	"TRUCK"	65	"CZ_6"	53.553850	9.991670
0	1	1	01/20/2016 05:27:21	"TRUCK"	67	"CZ_6"	53.553850	9.991670
0	1	1	01/20/2016 06:04:44	"TRUCK"	64	"CZ_8"	52.234970	21.008490
0	1	1	01/20/2016 06:55:22	"TRUCK"	63	"DC_1"	49.192050	16.613180
0	1	1	01/20/2016 07:57:55	"TRUCK"	62	"CZ_4"	41.890550	12.494260
0	1	1	01/20/2016 09:52:02	"TRUCK"	66	"DC_4"	51.922900	4.470560
0	1	1	01/20/2016 10:54:42	"TRUCK"	65	"DC_4"	51.922900	4.470560
0	1	1	01/20/2016 10:54:42	"TRUCK"	67	"DC_4"	51.922900	4.470560
0	1	1	01/20/2016 12:09:28	"TRUCK"	64	"DC_1"	49.192050	16.613180
0	1	1	01/20/2016 15:55:50	"TRUCK"	62	"DC_6"	43.295020	5.374470
0	1	1	01/21/2016 00:00:00	"TRUCK"	68	"DC_6"	43.295020	5.374470
0	1	1	01/21/2016 00:00:00	"TRUCK"	69	"DC_6"	43.295020	5.374470
0	1	1	01/21/2016 00:00:00	"TRUCK"	70	"DC_1"	49.192050	16.613180
0	1	1	01/21/2016 05:43:28	"TRUCK"	70	"CZ_2"	52.523430	13.411450
0	1	1	01/21/2016 10:42:34	"TRUCK"	68	"CZ_3"	40.416690	-3.700320
0	1	1	01/21/2016 10:42:34	"TRUCK"	69	"CZ_3"	40.416690	-3.700320
0	1	1	01/21/2016 11:26:56	"TRUCK"	70	"DC_1"	49.192050	16.613180
0	1	1	01/21/2016 21:25:08	"TRUCK"	68	"DC_6"	43.295020	5.374470
0	1	1	01/21/2016 21:25:08	"TRUCK"	69	"DC_6"	43.295020	5.374470
0	1	1	01/22/2016 00:00:00	"TRUCK"	71	"DC_4"	51.922900	4.470560
0	1	1	01/22/2016 04:12:59	"TRUCK"	71	"CZ_1"	51.513340	-0.088930
0	1	1	01/22/2016 08:25:58	"TRUCK"	71	"DC_4"	51.922900	4.470560
0	1	1	01/23/2016 00:00:00	"TRUCK"	72	"DC_6"	43.295020	5.374470
0	1	1	01/23/2016 00:00:00	"TRUCK"	73	"DC_1"	49.192050	16.613180
0	1	1	01/23/2016 00:00:00	"TRUCK"	74	"DC_1"	49.192050	16.613180
0	1	1	01/23/2016 00:00:00	"TRUCK"	75	"DC_4"	51.922900	4.470560
0	1	1	01/23/2016 05:27:21	"TRUCK"	75	"CZ_6"	53.553850	9.991670
0	1	1	01/23/2016 06:04:44	"TRUCK"	73	"CZ_8"	52.234970	21.008490
0	1	1	01/23/2016 06:04:44	"TRUCK"	74	"CZ_8"	52.234970	21.008490
0	1	1	01/23/2016 07:57:55	"TRUCK"	72	"CZ_4"	41.890550	12.494260
0	1	1	01/23/2016 10:54:42	"TRUCK"	75	"DC_4"	51.922900	4.470560
0	1	1	01/23/2016 12:09:28	"TRUCK"	73	"DC_1"	49.192050	16.613180
0	1	1	01/23/2016 12:09:28	"TRUCK"	74	"DC_1"	49.192050	16.613180
0	1	1	01/23/2016 15:55:50	"TRUCK"	72	"DC_6"	43.295020	5.374470
0	1	1	01/24/2016 00:00:00	"TRUCK"	76	"DC_1"	49.192050	16.613180
0	1	1	01/24/2016 00:00:00	"TRUCK"	77	"DC_1"	49.192050	16.613180
0	1	1	01/24/2016 00:00:00	"TRUCK"	78	"DC_1"	49.192050	16.613180
0	1	1	01/24/2016 03:27:41	"TRUCK"	78	"CZ_7"	47.498150	19.040550
0	1	1	01/24/2016 05:43:28	"TRUCK"	76	"CZ_2"	52.523430	13.411450
0	1	1	01/24/2016 05:43:28	"TRUCK"	77	"CZ_2"	52.523430	13.411450
0	1	1	01/24/2016 06:55:22	"TRUCK"	78	"DC_1"	49.192050	16.613180
0	1	1	01/24/2016 11:26:56	"TRUCK"	76	"DC_1"	49.192050	16.613180
0	1	1	01/24/2016 11:26:56	"TRUCK"	77	"DC_1"	49.192050	16.613180
0	1	1	01/25/2016 00:00:00	"TRUCK"	79	"DC_6"	43.295020	5.374470
0	1	1	01/25/2016 00:00:00	"TRUCK"	80	"DC_6"	43.295020	5.374470
0	1	1	01/25/2016 00:00:00	"TRUCK"	81	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 00:00:00	"TRUCK"	82	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 00:00:00	"TRUCK"	83	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 00:00:00	"TRUCK"	84	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 04:12:59	"TRUCK"	82	"CZ_1"	51.513340	-0.088930
0	1	1	01/25/2016 04:12:59	"TRUCK"	83	"CZ_1"	51.513340	-0.088930
0	1	1	01/25/2016 04:56:01	"TRUCK"	81	"CZ_5"	48.856910	2.350850
0	1	1	01/25/2016 04:56:01	"TRUCK"	84	"CZ_5"	48.856910	2.350850
0	1	1	01/25/2016 08:25:58	"TRUCK"	82	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 08:25:58	"TRUCK"	83	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 09:52:02	"TRUCK"	81	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 09:52:02	"TRUCK"	84	"DC_4"	51.922900	4.470560
0	1	1	01/25/2016 10:42:34	"TRUCK"	79	"CZ_3"	40.416690	-3.700320
0	1	1	01/25/2016 10:42:34	"TRUCK"	80	"CZ_3"	40.416690	-3.700320
0	1	1	01/25/2016 21:25:08	"TRUCK"	79	"DC_6"	43.295020	5.374470
0	1	1	01/25/2016 21:25:08	"TRUCK"	80	"DC_6"	43.295020	5.374470
0	1	1	01/26/2016 00:00:00	"TRUCK"	85	"DC_6"	43.295020	5.374470
0	1	1	01/26/2016 00:00:00	"TRUCK"	86	"DC_6"	43.295020	5.374470
0	1	1	01/26/2016 00:00:00	"TRUCK"	87	"DC_1"	49.192050	16.613180
0	1	1	01/26/2016 06:04:44	"TRUCK"	87	"CZ_8"	52.234970	21.008490
0	1	1	01/26/2016 07:57:55	"TRUCK"	85	"CZ_4"	41.890550	12.494260
0	1	1	01/26/2016 07:57:55	"TRUCK"	86	"CZ_4"	41.890550	12.494260
0	1	1	01/26/2016 12:09:28	"TRUCK"	87	"DC_1"	49.192050	16.613180
0	1	1	01/26/2016 15:55:50	"TRUCK"	85	"DC_6"	43.295020	5.374470
0	1	1	01/26/2016 15:55:50	"TRUCK"	86	"DC_6"	43.295020	5.374470
0	1	1	01/27/2016 00:00:00	"TRUCK"	88	"DC_1"	49.192050	16.613180
0	1	1	01/27/2016 00:00:00	"TRUCK"	89	"DC_4"	51.922900	4.470560
0	1	1	01/27/2016 05:27:21	"TRUCK"	89	"CZ_6"	53.553850	9.991670
0	1	1	01/27/2016 05:43:28	"TRUCK"	88	"CZ_2"	52.523430	13.411450
0	1	1	01/27/2016 10:54:42	"TRUCK"	89	"DC_4"	51.922900	4.470560
0	1	1	01/27/2016 11:26:56	"TRUCK"	88	"DC_1"	49.192050	16.613180
0	1	1	01/28/2016 00:00:00	"TRUCK"	90	"DC_6"	43.295020	5.374470
0	1	1	01/28/2016 00:00:00	"TRUCK"	91	"DC_6"	43.295020	5.374470
0	1	1	01/28/2016 00:00:00	"TRUCK"	92	"DC_4"	51.922900	4.470560
0	1	1	01/28/2016 00:00:00	"TRUCK"	93	"DC_4"	51.922900	4.470560
0	1	1	01/28/2016 04:12:59	"TRUCK"	93	"CZ_1"	51.513340	-0.088930
0	1	1	01/28/2016 04:56:01	"TRUCK"	92	"CZ_5"	48.856910	2.350850
0	1	1	01/28/2016 08:25:58	"TRUCK"	93	"DC_4"	51.922900	4.470560
0	1	1	01/28/2016 09:52:02	"TRUCK"	92	"DC_4"	51.922900	4.470560
0	1	1	01/28/2016 10:42:34	"TRUCK"	90	"CZ_3"	40.416690	-3.700320
0	1	1	01/28/2016 10:42:34	"TRUCK"	91	"CZ_3"	40.416690	-3.700320
0	1	1	01/28/2016 21:25:08	"TRUCK"	90	"DC_6"	43.295020	5.374470
0	1	1	01/28/2016 21:25:08	"TRUCK"	91	"DC_6"	43.295020	5.374470
0	1	1	01/29/2016 00:00:00	"TRUCK"	94	"DC_1"	49.192050	16.613180
0	1	1	01/29/2016 03:27:41	"TRUCK"	94	"CZ_7"	47.498150	19.040550
0	1	1	01/29/2016 06:55:22	"TRUCK"	94	"DC_1"	49.192050	16.613180
0	1	1	01/30/2016 00:00:00	"TRUCK"	95	"DC_6"	43.295020	5.374470
0	1	1	01/30/2016 00:00:00	"TRUCK"	96	"DC_1"	49.192050	16.613180
0	1	1	01/30/2016 00:00:00	"TRUCK"	97	"DC_1"	49.192050	16.613180
0	1	1	01/30/2016 00:00:00	"TRUCK"	98	"DC_4"	51.922900	4.470560
0	1	1	01/30/2016 05:27:21	"TRUCK"	98	"CZ_6"	53.553850	9.991670
0	1	1	01/30/2016 05:43:28	"TRUCK"	97	"CZ_2"	52.523430	13.411450
0	1	1	01/30/2016 06:04:44	"TRUCK"	96	"CZ_8"	52.234970	21.008490
0	1	1	01/30/2016 07:57:55	"TRUCK"	95	"CZ_4"	41.890550	12.494260
0	1	1	01/30/2016 10:54:42	"TRUCK"	98	"DC_4"	51.922900	4.470560
0	1	1	01/30/2016 11:26:56	"TRUCK"	97	"DC_1"	49.192050	16.613180
0	1	1	01/30/2016 12:09:28	"TRUCK"	96	"DC_1"	49.192050	16.613180
0	1	1	01/30/2016 15:55:50	"TRUCK"	95	"DC_6"	43.295020	5.374470
0	1	1	01/31/2016 00:00:00	"TRUCK"	99	"DC_6"	43.295020	5.374470
0	1	1	01/31/2016 00:00:00	"TRUCK"	100	"DC_6"	43.295020	5.374470
0	1	1	01/31/2016 00:00:00	"TRUCK"	3	"DC_6"	43.295020	5.374470
