ScenarioId	StepNumber	Replication	Time	Site	Product	Variable	Average	SimpleAverage	StdDev	Min	Max	Current	Total	Period
0	1	1	05/30/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						550.000000		5	
0	1	1	05/30/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		5	
0	1	1	06/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1302.000000		6	
0	1	1	06/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						22745.000000		6	
0	1	1	06/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						264662.000000		6	
0	1	1	06/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		6	
0	1	1	06/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						526814.000000		6	
0	1	1	06/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						698837.000000		6	
0	1	1	06/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						434175.000000		6	
0	1	1	06/02/2016 12:45:31	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						172023.000000		6	
0	1	1	06/04/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						562.000000		6	
0	1	1	06/04/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/04/2016 01:10:07	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		6	
0	1	1	06/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						568.000000		6	
0	1	1	06/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/13/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						615.000000		6	
0	1	1	06/13/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/14/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						571.000000		6	
0	1	1	06/14/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/19/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						572.000000		6	
0	1	1	06/19/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						645.000000		6	
0	1	1	06/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	06/29/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						542.000000		6	
0	1	1	06/29/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		6	
0	1	1	07/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1275.000000		7	
0	1	1	07/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	07/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						19448.000000		7	
0	1	1	07/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						196964.000000		7	
0	1	1	07/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		7	
0	1	1	07/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						361243.000000		7	
0	1	1	07/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						496312.000000		7	
0	1	1	07/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						299348.000000		7	
0	1	1	07/02/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						603.000000		7	
0	1	1	07/02/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	07/02/2016 03:21:22	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						135069.000000		7	
0	1	1	07/03/2016 02:10:22	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		7	
0	1	1	07/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						572.000000		7	
0	1	1	07/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	07/13/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						609.000000		7	
0	1	1	07/13/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	07/16/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						572.000000		7	
0	1	1	07/16/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	07/25/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						606.000000		7	
0	1	1	07/25/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	07/29/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						632.000000		7	
0	1	1	07/29/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		7	
0	1	1	08/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						534.000000		8	
0	1	1	08/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		8	
0	1	1	08/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						63467.000000		8	
0	1	1	08/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						821918.000000		8	
0	1	1	08/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		8	
0	1	1	08/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1575203.000000		8	
0	1	1	08/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						2111247.000000		8	
0	1	1	08/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						1289329.000000		8	
0	1	1	08/05/2016 18:09:19	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						536044.000000		8	
0	1	1	08/07/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						510.000000		8	
0	1	1	08/07/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		8	
0	1	1	08/10/2016 02:46:42	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		8	
