SourceName	CustomerName	FlowUnits	Distance	FlowXDistance	ScenarioID	ScenarioStepNumber	
GREENFIELD_DC_10	CZ_LANCASTER_CA	2610.00000	78.85207	205803.90235	0	1	
GREENFIELD_DC_10	CZ_PALMDALE_CA	2547.00000	69.10284	176004.92413	0	1	
GREENFIELD_DC_10	CZ_CHULA VISTA_CA	4065.00000	104.05636	422989.11900	0	1	
GREENFIELD_DC_10	CZ_SAN DIEGO_CA	21789.00000	96.15231	2095062.59039	0	1	
GREENFIELD_DC_10	CZ_DESERT HOT SPRINGS_CA	9754.00000	92.56400	902869.20871	0	1	
GREENFIELD_DC_10	CZ_VICTORVILLE_CA	1932.00000	71.08926	137344.45275	0	1	
GREENFIELD_DC_10	CZ_BAKERSFIELD_CA	5790.00000	152.62325	883688.63290	0	1	
GREENFIELD_DC_11	CZ_MURFREESBORO_TN	1812.00000	185.26915	335707.69509	0	1	
GREENFIELD_DC_11	CZ_NASHVILLE _TN	10020.00000	213.94227	2143701.50359	0	1	
GREENFIELD_DC_11	CZ_MEMPHIS_TN	10782.00000	241.35497	2602289.26763	0	1	
GREENFIELD_DC_11	CZ_WEST MEMPHIS_AR	12777.00000	261.73806	3344227.24829	0	1	
GREENFIELD_DC_11	CZ_BESSEMER_AL	12506.00000	13.96946	174702.06385	0	1	
GREENFIELD_DC_11	CZ_BIRMINGHAM_AL	3537.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_11	CZ_CLARKSVILLE_TN	2214.00000	245.69372	543965.90428	0	1	
GREENFIELD_DC_11	CZ_ATLANTA_GA	6999.00000	163.39529	1143603.64094	0	1	
GREENFIELD_DC_11	CZ_BATON ROUGE_LA	3825.00000	389.86522	1491234.48247	0	1	
GREENFIELD_DC_11	CZ_CHATTANOOGA_TN	2796.00000	158.60956	443472.32268	0	1	
GREENFIELD_DC_11	CZ_COLUMBUS_GA	3165.00000	149.79519	474101.78328	0	1	
GREENFIELD_DC_11	CZ_HUNTSVILLE_AL	3003.00000	98.80912	296723.80044	0	1	
GREENFIELD_DC_11	CZ_JACKSON_MS	2892.00000	249.86001	722595.15140	0	1	
GREENFIELD_DC_11	CZ_MOBILE_AL	3252.00000	243.55215	792031.58527	0	1	
GREENFIELD_DC_11	CZ_MONTGOMERY_AL	3429.00000	98.33663	337196.29168	0	1	
GREENFIELD_DC_11	CZ_NEW ORLEANS_LA	5730.00000	365.47029	2094144.77369	0	1	
GREENFIELD_DC_12	CZ_KANSAS CITY_KS	2430.00000	191.82352	466131.15997	0	1	
GREENFIELD_DC_12	CZ_KANSAS CITY_MO	7662.00000	193.04578	1479116.77013	0	1	
GREENFIELD_DC_12	CZ_OVERLAND PARK_KS	2889.00000	199.93511	577612.54440	0	1	
GREENFIELD_DC_12	CZ_INDEPENDENCE_MO	1947.00000	198.98899	387431.56575	0	1	
GREENFIELD_DC_12	CZ_OLATHE_KS	2097.00000	204.43657	428703.48636	0	1	
GREENFIELD_DC_12	CZ_MINNEAPOLIS_MN	6375.00000	339.76392	2165994.97634	0	1	
GREENFIELD_DC_12	CZ_SAINT PAUL_MN	4752.00000	341.73937	1623945.50520	0	1	
GREENFIELD_DC_12	CZ_COUNCIL BLUFFS_IA	11119.00000	5.43510	60432.89075	0	1	
GREENFIELD_DC_12	CZ_OMAHA_NE	6816.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_12	CZ_COLUMBIA_MO	1809.00000	291.36068	527071.46267	0	1	
GREENFIELD_DC_12	CZ_DES MOINES_IA	3390.00000	143.32037	485856.04911	0	1	
GREENFIELD_DC_12	CZ_FARGO_ND	1758.00000	457.09845	803579.08142	0	1	
GREENFIELD_DC_12	CZ_LINCOLN_NE	4305.00000	59.10192	254433.77088	0	1	
GREENFIELD_DC_12	CZ_ROCHESTER_MN	1779.00000	304.36232	541460.57233	0	1	
GREENFIELD_DC_12	CZ_SIOUX FALLS_SD	2565.00000	190.44798	488499.07256	0	1	
GREENFIELD_DC_12	CZ_SPRINGFIELD_MO	2658.00000	366.57086	974345.35595	0	1	
GREENFIELD_DC_12	CZ_TOPEKA_KS	2124.00000	179.22863	380681.61578	0	1	
GREENFIELD_DC_12	CZ_WICHITA_KS	6372.00000	301.62451	1921951.40252	0	1	
GREENFIELD_DC_13	CZ_ATLANTIC CITY_NJ	9986.00000	137.31376	1371215.21841	0	1	
GREENFIELD_DC_13	CZ_BRIDGETON_NJ	2916.00000	87.34937	254710.76463	0	1	
GREENFIELD_DC_13	CZ_ARLINGTON_VA	3459.00000	43.85245	151685.64102	0	1	
GREENFIELD_DC_13	CZ_WASHINGTON_D.C.	10029.00000	41.54666	416671.41162	0	1	
GREENFIELD_DC_13	CZ_ALEXANDRIA_VA	2334.00000	46.76482	109149.09785	0	1	
GREENFIELD_DC_13	CZ_BALTIMORE_MD	10350.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_13	CZ_HARRISBURG_PA	2119.00000	79.84811	169198.15042	0	1	
GREENFIELD_DC_13	CZ_RICHMOND_VA	3405.00000	150.93436	513931.49553	0	1	
GREENFIELD_DC_13	CZ_SALISBURY_MD	12647.00000	98.92146	1251059.73215	0	1	
GREENFIELD_DC_14	CZ_BELLEVUE_WA	2040.00000	221.20202	451252.12985	0	1	
GREENFIELD_DC_14	CZ_SEATTLE_WA	10143.00000	218.85842	2219880.93413	0	1	
GREENFIELD_DC_14	CZ_EVERETT_WA	1716.00000	249.89510	428819.99720	0	1	
GREENFIELD_DC_14	CZ_PORTLAND_OR	9729.00000	50.27247	489100.84798	0	1	
GREENFIELD_DC_14	CZ_VANCOUVER_WA	2697.00000	59.47802	160412.21751	0	1	
GREENFIELD_DC_14	CZ_GRESHAM_OR	1761.00000	57.27034	100853.06987	0	1	
GREENFIELD_DC_14	CZ_SALEM_OR	2577.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_14	CZ_TACOMA_WA	3306.00000	189.88864	627771.85826	0	1	
GREENFIELD_DC_14	CZ_BOISE_ID	3429.00000	409.49540	1404159.73094	0	1	
GREENFIELD_DC_14	CZ_EUGENE_OR	2604.00000	72.44936	188658.14397	0	1	
GREENFIELD_DC_14	CZ_SPOKANE_WA	3483.00000	382.43286	1332013.63748	0	1	
GREENFIELD_DC_15	CZ_CORPUS CHRISTI_TX	5088.00000	197.41091	1004426.70709	0	1	
GREENFIELD_DC_15	CZ_KINGSVILLE_TX	8084.00000	218.82008	1768941.55414	0	1	
GREENFIELD_DC_15	CZ_HOUSTON_TX	34992.00000	170.84270	5978127.90570	0	1	
GREENFIELD_DC_15	CZ_PASADENA_TX	2484.00000	183.45086	455691.92742	0	1	
GREENFIELD_DC_15	CZ_AUSTIN_TX	13173.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_15	CZ_BEAUMONT_TX	1971.00000	255.04361	502690.95945	0	1	
GREENFIELD_DC_15	CZ_BROWNSVILLE_TX	2916.00000	349.22811	1018349.17067	0	1	
GREENFIELD_DC_15	CZ_KILLEEN_TX	2133.00000	72.68401	155034.98826	0	1	
GREENFIELD_DC_15	CZ_LAFAYETTE_LA	2010.00000	400.56938	805144.45670	0	1	
GREENFIELD_DC_15	CZ_LAREDO_TX	3936.00000	252.19351	992633.63889	0	1	
GREENFIELD_DC_15	CZ_MCALLEN_TX	2166.00000	326.43851	707065.82305	0	1	
GREENFIELD_DC_15	CZ_MIDLAND_TX	1851.00000	332.50007	615457.62729	0	1	
GREENFIELD_DC_15	CZ_SAN ANTONIO_TX	22122.00000	81.47982	1802496.55451	0	1	
GREENFIELD_DC_16	CZ_CARBONDALE_IL	7715.00000	317.88652	2452494.47546	0	1	
GREENFIELD_DC_16	CZ_CINCINNATI_OH	4950.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_16	CZ_COLUMBUS_OH	13116.00000	117.06547	1535430.71130	0	1	
